Ch 1 (s)	 Ch 1 (Volts)	 Ch 2 (s)	 Ch 2 (Volts)
     1.740E-3	     0.0000	      1.740E-3	     0.0000
     1.744E-3	     0.0000	      1.744E-3	     0.0000
     1.748E-3	     0.0000	      1.748E-3	     0.0000
     1.752E-3	     0.0000	      1.752E-3	      80.00E-3
     1.756E-3	     0.0000	      1.756E-3	     0.0000
     1.760E-3	     0.0000	      1.760E-3	      80.00E-3
     1.764E-3	     0.0000	      1.764E-3	      80.00E-3
     1.768E-3	     0.0000	      1.768E-3	     0.0000
     1.772E-3	     0.0000	      1.772E-3	      80.00E-3
     1.776E-3	     0.0000	      1.776E-3	     0.0000
     1.780E-3	     0.0000	      1.780E-3	      80.00E-3
     1.784E-3	     0.0000	      1.784E-3	     0.0000
     1.788E-3	      80.00E-3	      1.788E-3	     0.0000
     1.792E-3	     0.0000	      1.792E-3	     0.0000
     1.796E-3	     0.0000	      1.796E-3	     0.0000
     1.800E-3	     0.0000	      1.800E-3	      80.00E-3
     1.804E-3	     0.0000	      1.804E-3	     0.0000
     1.808E-3	     0.0000	      1.808E-3	     0.0000
     1.812E-3	     0.0000	      1.812E-3	      80.00E-3
     1.816E-3	     0.0000	      1.816E-3	     0.0000
     1.820E-3	     0.0000	      1.820E-3	     0.0000
     1.824E-3	     0.0000	      1.824E-3	     0.0000
     1.828E-3	     0.0000	      1.828E-3	     0.0000
     1.832E-3	     0.0000	      1.832E-3	     0.0000
     1.836E-3	     0.0000	      1.836E-3	     0.0000
     1.840E-3	      80.00E-3	      1.840E-3	     0.0000
     1.844E-3	     0.0000	      1.844E-3	     0.0000
     1.848E-3	     0.0000	      1.848E-3	     0.0000
     1.852E-3	     0.0000	      1.852E-3	      80.00E-3
     1.856E-3	      80.00E-3	      1.856E-3	     0.0000
     1.860E-3	      80.00E-3	      1.860E-3	     0.0000
     1.864E-3	      80.00E-3	      1.864E-3	     0.0000
     1.868E-3	     0.0000	      1.868E-3	     0.0000
     1.872E-3	      80.00E-3	      1.872E-3	     0.0000
     1.876E-3	      80.00E-3	      1.876E-3	     0.0000
     1.880E-3	     0.0000	      1.880E-3	     0.0000
     1.884E-3	      80.00E-3	      1.884E-3	     0.0000
     1.888E-3	     0.0000	      1.888E-3	     0.0000
     1.892E-3	     0.0000	      1.892E-3	     0.0000
     1.896E-3	     0.0000	      1.896E-3	     0.0000
     1.900E-3	      80.00E-3	      1.900E-3	     0.0000
     1.904E-3	     0.0000	      1.904E-3	     0.0000
     1.908E-3	     0.0000	      1.908E-3	     0.0000
     1.912E-3	      80.00E-3	      1.912E-3	     0.0000
     1.916E-3	      80.00E-3	      1.916E-3	      80.00E-3
     1.920E-3	     0.0000	      1.920E-3	     0.0000
     1.924E-3	      80.00E-3	      1.924E-3	     0.0000
     1.928E-3	      80.00E-3	      1.928E-3	     0.0000
     1.932E-3	      80.00E-3	      1.932E-3	     0.0000
     1.936E-3	     0.0000	      1.936E-3	     0.0000
     1.940E-3	     0.0000	      1.940E-3	      80.00E-3
